(838537989.0, 2121.0)
profit, budget restant
départ, arrivée, numéro du camion
(714, 12251, 4386)
(35922, 137106, 4386)
(186222, 171231, 4386)
(13269, 46457, 4994)
(23525, 130176, 4807)
(164482, 39993, 4807)
(128617, 179236, 4807)
(167669, 90501, 4807)
(8162, 69841, 4807)
(146310, 195493, 5688)
(28022, 27289, 4009)
(195909, 21436, 5559)
(184769, 42743, 5419)
(88288, 164436, 5419)
(104759, 187896, 5296)
(189971, 48871, 4462)
(135697, 11476, 3943)
(141363, 114362, 4853)
(119921, 79539, 5053)
(90024, 45730, 5053)
(144342, 129294, 4590)
(89854, 6740, 4994)
(182205, 42936, 4994)
(155809, 55916, 4994)
(20987, 54280, 4386)
(116557, 187340, 4386)
(151070, 167905, 4386)
(122700, 84866, 4807)
(185289, 4905, 4807)
(154226, 131181, 5559)
(74200, 152744, 5559)
(185580, 167827, 5559)
(157559, 87997, 5559)
(45835, 98458, 5419)
(39876, 17736, 5296)
(178533, 45311, 5296)
(146204, 141865, 5296)
(168338, 167014, 4634)
(119317, 45857, 4159)
(24225, 159002, 4159)
(25754, 170467, 5610)
(27884, 18308, 5688)
(50238, 30446, 5688)
(86648, 37411, 4590)
(155740, 165220, 3679)
(71101, 114932, 5559)
(62967, 20905, 5559)
(28018, 130296, 4386)
(6572, 53573, 4386)
(183104, 151477, 4386)
(138870, 92783, 4807)
(189635, 118771, 5296)
(73804, 66988, 5296)
(20131, 50690, 5296)
(74563, 142367, 5296)
(106468, 35818, 4634)
(47647, 167551, 4634)
(180785, 190900, 4634)
(57397, 18563, 5688)
(30431, 135362, 4423)
(65679, 156255, 4423)
(13005, 163651, 4159)
(38837, 154501, 4159)
(59159, 3480, 4159)
(15044, 187667, 4159)
(67734, 98841, 4853)
(78247, 54668, 4994)
(76988, 88870, 4994)
(119866, 95116, 5559)
(34845, 60067, 5559)
(44308, 18921, 5559)
(18702, 85924, 5559)
(15991, 192489, 5559)
(120202, 42489, 5559)
(108652, 162015, 3943)
(74737, 39925, 3943)
(165399, 50277, 5296)
(175904, 35609, 4807)
(47302, 83533, 4386)
(36550, 113883, 4386)
(53395, 196542, 4386)
(145378, 142779, 4634)
(103949, 148488, 4634)
(196284, 68265, 5688)
(39107, 145761, 3780)
(146201, 108665, 3780)
(111402, 133177, 4462)
(47094, 20748, 4226)
(135198, 20602, 4994)
(153355, 141292, 4423)
(196722, 176250, 3853)
(148637, 95337, 3853)
(31488, 127909, 5559)
(87706, 78192, 4009)
(170365, 131280, 4159)
(165641, 170010, 4590)
(53854, 151711, 5419)
(196328, 75162, 5419)
(142465, 197748, 5419)
(44399, 176815, 5296)
(115124, 198245, 5296)
(152050, 129080, 4807)
(90002, 185958, 4807)
(93154, 38353, 4807)
(14494, 27401, 3655)
(46547, 169342, 5559)
(62048, 55966, 5559)
(10860, 7449, 4994)
(102417, 55231, 4994)
(165329, 49827, 4226)
(99644, 188906, 5419)
(146978, 167531, 5419)
(305, 163348, 5571)
(97207, 142714, 5296)
(11975, 109353, 5296)
(92104, 24122, 5296)
(80853, 157555, 4159)
(90381, 168231, 4159)
(130408, 141681, 4590)
(26628, 1970, 4590)
(188362, 196365, 4590)
(78307, 115487, 3853)
(84093, 88488, 4807)
(118832, 196533, 5053)
(111855, 170327, 5053)
(109480, 193709, 5053)
(6830, 83862, 3943)
(35801, 336, 4386)
(182705, 158625, 4386)
(2992, 33814, 4386)
(120189, 48859, 4634)
(69259, 11716, 5559)
(59065, 17235, 5559)
(182551, 65016, 5559)
(52023, 2429, 5419)
(78951, 170466, 5419)
(155216, 31676, 5419)
(21323, 33772, 4462)
(101156, 77906, 5296)
(135661, 75697, 5296)
(114654, 31050, 5296)
(166422, 2631, 5688)
(8757, 25542, 3679)
(191153, 66877, 4590)
(12303, 73058, 4590)
(119077, 27980, 4159)
(2712, 70420, 3780)
(4339, 22593, 5053)
(38482, 74154, 4009)
(135761, 117677, 4634)
(96263, 106486, 4386)
(14269, 32698, 4994)
(47800, 175716, 4994)
(147820, 114751, 4994)
(122328, 21039, 4994)
(166760, 155891, 5419)
(3044, 62065, 5419)
(18111, 116402, 5419)
(67609, 97354, 5419)
(174830, 123908, 5610)
(64726, 198240, 5296)
(36781, 44561, 5296)
(174354, 144830, 5296)
(160303, 81832, 3655)
(171110, 1815, 4590)
(162842, 14297, 4590)
(90994, 23127, 4590)
(198506, 28433, 4226)
(27134, 65249, 5053)
(191973, 83690, 5053)
(170470, 84660, 4159)
(50881, 177661, 4159)
(3612, 161667, 5559)
(70034, 137867, 5559)
(20593, 97968, 5559)
(3942, 176841, 5419)
(110056, 37405, 4994)
(8218, 59074, 3853)
(15698, 64020, 3853)
(99570, 59406, 5610)
(156425, 73890, 5688)
(56685, 67427, 4386)
(162349, 31405, 4386)
(25024, 98091, 4853)
(87750, 160040, 5296)
(68234, 103110, 5296)
(161591, 88403, 3943)
(121895, 105995, 4462)
(188889, 156387, 4423)
(142212, 87804, 4590)
(195843, 31534, 4590)
(106177, 163362, 5559)
(179453, 92616, 5559)
(76234, 71003, 5559)
(45585, 108132, 4807)
(146193, 31571, 4226)
(153389, 72051, 4226)
(56532, 71493, 3655)
(116640, 155593, 3655)
(133198, 188910, 5419)
(35085, 105994, 5419)
(177461, 92937, 4159)
(28836, 8103, 4159)
(134956, 134190, 4994)
(67447, 31250, 4994)
(116950, 30228, 4994)
(183116, 170387, 5296)
(92452, 42440, 4009)
(188303, 28197, 3780)
(134108, 94219, 4386)
(187542, 90336, 3853)
(29783, 59453, 4862)
(83069, 189888, 3943)
(20061, 4762, 3943)
(186522, 94596, 4590)
(86187, 91212, 4590)
(38349, 83259, 4590)
(39998, 132087, 4590)
(39675, 36646, 4807)
(120972, 78277, 4807)
(153079, 186964, 5688)
(176966, 108823, 5419)
(102793, 107050, 5419)
(83468, 81399, 4994)
(71065, 98957, 4994)
(69986, 121034, 4994)
(192181, 136007, 5296)
(187896, 163820, 5296)
(123355, 2119, 4159)
(98377, 149249, 4159)
(103110, 85915, 4159)
(93301, 145248, 4159)
(187176, 109925, 4159)
(117078, 24972, 4386)
(145003, 39665, 4386)
(22986, 76330, 4386)
(129486, 72813, 4386)
(7761, 17294, 4386)
(124025, 7957, 4386)
(30426, 24182, 5559)
(26139, 79514, 5559)
(183193, 169687, 4462)
(167667, 47051, 3780)
(9410, 72131, 5688)
(182875, 35559, 5688)
(180000, 51641, 5688)
(73064, 118494, 5688)
(27250, 31283, 4590)
(1058, 9273, 4590)
(178015, 33145, 4807)
(67311, 54506, 4807)
(149933, 136926, 4807)
(100394, 47050, 4807)
(91206, 176551, 4807)
(90931, 14205, 5296)
(143646, 163474, 5296)
(14380, 41106, 4226)
(81003, 174501, 4159)
(101607, 155641, 5053)
(99619, 122221, 5559)
(52962, 130716, 5559)
(68344, 22997, 5559)
(8853, 63904, 4862)
(98595, 195919, 5688)
(164038, 86341, 4386)
(173312, 158665, 4386)
(196855, 97737, 4386)
(29570, 195559, 4009)
(163234, 62898, 4009)
(160004, 117600, 5419)
(43799, 33441, 4807)
(110397, 35432, 4807)
(10505, 78507, 4590)
(6751, 34074, 3679)
(81220, 139927, 3853)
(120542, 73605, 4994)
(76969, 113159, 4994)
(31227, 92213, 4994)
(106420, 72376, 4994)
(71294, 195113, 5296)
(42799, 36704, 5296)
(46168, 126805, 5296)
(147152, 81766, 5296)
(137184, 95651, 4853)
(7851, 84994, 5053)
(14654, 483, 4226)
(136453, 38989, 5688)
(132270, 5038, 5688)
(100790, 180267, 5688)
(30983, 53655, 5296)
(180690, 43418, 4807)
(130638, 175519, 4807)
(75100, 20602, 4994)
(116458, 105697, 4994)
(48215, 136735, 5559)
(93105, 90170, 3853)
(16801, 92664, 3780)
(58835, 182861, 4853)
(53516, 48249, 3943)
(68051, 134466, 3943)
(185429, 117516, 3943)
(5537, 43787, 3943)
(30087, 32881, 4634)
(188332, 96723, 4226)
(54068, 66816, 5419)
(34882, 189321, 4159)
(47572, 10121, 4159)
(149315, 30015, 4159)
(119495, 76719, 4159)
(2970, 30378, 4159)
(25295, 160716, 4462)
(184540, 165768, 4462)
(182808, 93762, 5296)
(94113, 168292, 5296)
(55412, 40134, 5296)
(87990, 195017, 4386)
(27320, 164303, 4386)
(181042, 19011, 4994)
(198631, 182752, 4994)
(52098, 86414, 4807)
(157528, 789, 4807)
(30445, 37445, 4590)
(172006, 188331, 4590)
(148107, 152082, 5688)
(111535, 136820, 5688)
(43039, 35266, 5559)
(62893, 129074, 5559)
(8602, 131025, 4009)
(84517, 149629, 4009)
(182394, 177543, 5571)
(41687, 128088, 4634)
(11379, 34241, 3853)
(47785, 185082, 3780)
(150506, 17160, 5296)
(22466, 91501, 5296)
(75255, 128891, 5296)
(147090, 157470, 5296)
(78082, 186560, 5296)
(125250, 58604, 5296)
(100199, 175786, 4994)
(54492, 176839, 4807)
(83883, 68619, 4386)
(111547, 128352, 4386)
(169541, 15902, 5053)
(174439, 189465, 4853)
(96135, 130672, 5419)
(101324, 56765, 5419)
(112870, 182131, 4862)
(12526, 68589, 5296)
(118466, 183019, 5296)
(89739, 84066, 5296)
(181652, 177953, 5296)
(119568, 184255, 5296)
(177370, 149999, 5688)
(176952, 31404, 4994)
(27232, 132940, 4994)
(81165, 154331, 4994)
(30276, 32602, 4226)
(33603, 79755, 4226)
(143694, 136692, 5559)
(11234, 83814, 5610)
(53849, 2308, 4462)
(22475, 197163, 4807)
(29927, 181278, 5053)
(168804, 134197, 4159)
(24527, 66525, 4159)
(25502, 53418, 4386)
(7665, 180522, 4590)
(173395, 137138, 5419)
(50692, 51675, 4862)
(172501, 120996, 4634)
(180515, 10057, 5688)
(179724, 43426, 5688)
(193817, 161611, 5296)
(181317, 43825, 5296)
(189333, 160270, 5296)
(132870, 100823, 5559)
(83158, 96203, 4994)
(177759, 5144, 4994)
(178909, 85614, 4994)
(109854, 30328, 5571)
(140338, 61427, 4226)
(57055, 144341, 4226)
(15897, 164414, 3780)
(105893, 34536, 5419)
(62984, 56110, 5419)
(76039, 32533, 4159)
(38861, 117878, 4159)
(135558, 150963, 4590)
(65189, 197443, 4590)
(69, 142496, 4386)
(93454, 6047, 4386)
(83961, 82646, 4386)
(158312, 73074, 4386)
(174685, 117306, 4386)
(74894, 156239, 3518)
(1723, 105337, 4853)
(68538, 125963, 5688)
(118575, 171221, 4423)
(170282, 32632, 5296)
(116762, 63429, 5559)
(114214, 2877, 4634)
(60659, 36291, 5610)
(59296, 128685, 5610)
(157078, 172496, 4807)
(142435, 45227, 5419)
(180155, 101143, 5419)
(74572, 139690, 4226)
(110903, 8001, 4226)
(169670, 101242, 4590)
(157058, 153699, 4590)
(128470, 194586, 3853)
(166703, 68705, 4853)
(46587, 137715, 4853)
(172899, 108245, 4853)
(21738, 915, 4386)
(82253, 68547, 4386)
(23581, 115622, 5296)
(149829, 77592, 5559)
(111285, 134450, 4423)
(139017, 58990, 3679)
(19604, 44354, 4634)
(22860, 45356, 4634)
(79128, 147854, 4994)
(32138, 102323, 4994)
(190183, 113168, 4994)
(96827, 58915, 4009)
(61351, 60430, 4807)
(37318, 112172, 5688)
(129107, 130327, 5688)
(104800, 107543, 4226)
(130429, 37817, 5296)
(118561, 74016, 5296)
(38028, 100410, 5296)
(161675, 67037, 5296)
(30844, 70351, 5296)
(111128, 42334, 5559)
(50854, 65411, 5559)
(51987, 103502, 4386)
(147637, 57586, 4159)
(84068, 19766, 4159)
(124373, 161945, 4159)
(83398, 35134, 4423)
(14396, 84462, 4423)
(188433, 183717, 4994)
(47896, 118619, 5053)
(173908, 72994, 4807)
(83230, 135400, 4807)
(47203, 95613, 4807)
(178211, 197422, 3518)
(6918, 105384, 5610)
(38998, 16982, 5296)
(71220, 161969, 5296)
(26920, 50048, 5296)
(172518, 41221, 5296)
(40397, 160493, 5296)
(1282, 31103, 5296)
(67426, 97749, 4009)
(133656, 135161, 4853)
(46313, 9840, 4853)
(82156, 37316, 4590)
(35499, 138094, 4226)
(19351, 119463, 4226)
(82954, 48354, 4226)
(160343, 46685, 4386)
(37866, 124508, 4386)
(97298, 35247, 4994)
(160945, 60571, 4159)
(145312, 148692, 3943)
(36501, 83171, 3943)
(16975, 103667, 5688)
(64753, 191716, 5688)
(12755, 11575, 3853)
(72990, 111131, 4807)
(177887, 183225, 4807)
(81255, 173997, 4807)
(124091, 167244, 5559)
(153986, 103170, 5559)
(77875, 196462, 5559)
(173233, 189764, 5296)
(143238, 80173, 5296)
(11085, 75607, 4009)
(61776, 168878, 4994)
(59733, 74657, 4994)
(191130, 124196, 5688)
(11733, 39575, 4226)
(159395, 179314, 5419)
(60973, 2347, 4386)
(83189, 49009, 4386)
(68016, 96495, 4634)
(85611, 27282, 3943)
(12094, 79242, 5559)
(36615, 176796, 3943)
(167174, 116630, 5296)
(5813, 44854, 5296)
(58052, 54448, 5296)
(77687, 170894, 4807)
(630, 171141, 3655)
(187602, 68599, 3780)
(54226, 197185, 4853)
(44963, 117243, 4853)
(73468, 137953, 5688)
(186167, 188342, 5053)
(119256, 182730, 5053)
(18799, 160256, 4590)
(26722, 196370, 4590)
(85677, 6587, 4994)
(97095, 182509, 5419)
(55583, 180160, 5419)
(128184, 199795, 4226)
(149591, 21943, 4386)
(122099, 156775, 4386)
(127357, 33882, 4386)
(94676, 187417, 4386)
(47309, 149715, 5559)
(53593, 42651, 5559)
(27218, 139784, 3518)
(136880, 1802, 3587)
(26351, 10858, 4159)
(75235, 21108, 4159)
(60819, 55992, 5296)
(192274, 105109, 5296)
(172917, 140090, 5296)
(41465, 7958, 5296)
(103644, 67582, 3943)
(197607, 6324, 4853)
(82577, 48504, 4853)
(46149, 15693, 5053)
(11681, 9332, 5053)
(82619, 47321, 4994)
(137264, 52529, 4994)
(123743, 15722, 4590)
(8527, 100929, 3655)
(45056, 118204, 5559)
(31548, 153107, 5559)
(77224, 64764, 5571)
(109997, 141393, 4386)
(121572, 100179, 4386)
(41891, 138030, 4386)
(70908, 34367, 4386)
(83609, 21931, 4386)
(20272, 114613, 5296)
(83838, 130860, 5296)
(63456, 95574, 5296)
(80147, 58647, 4226)
(106523, 60884, 4226)
(174353, 162313, 5688)
(193071, 191707, 4807)
(145615, 15670, 4159)
(97261, 50641, 4159)
(100166, 26455, 4159)
(62637, 159112, 3587)
(46959, 168961, 5053)
(22184, 63045, 5053)
(190181, 199341, 5053)
(175521, 123346, 5053)
(28584, 155496, 5053)
(134633, 29925, 4853)
(137411, 99534, 4853)
(51817, 85318, 5419)
(73818, 190534, 5419)
(147379, 72578, 4994)
(98585, 106929, 4994)
(21562, 59498, 4994)
(159439, 12159, 5559)
(94249, 94326, 5559)
(58376, 145773, 5296)
(20005, 142645, 5296)
(55347, 83123, 5296)
(57523, 115816, 4634)
(194528, 63968, 3655)
(18064, 5351, 3780)
(1855, 131737, 5688)
(51280, 168430, 4423)
(117207, 47452, 4009)
(184029, 258, 4807)
(191242, 84210, 4807)
(146558, 35032, 5419)
(176350, 186356, 4159)
(98060, 162964, 4159)
(170661, 4913, 4853)
(117418, 155876, 4994)
(117980, 123600, 4994)
(92975, 866, 5559)
(44820, 98334, 4590)
(56506, 95077, 4590)
(177237, 168167, 4590)
(37183, 168443, 5688)
(67010, 113223, 5296)
(150404, 171589, 5296)
(199260, 1261, 3853)
(120214, 184821, 5419)
(14361, 89810, 4386)
(101568, 16739, 4386)
(13295, 40946, 4807)
(82176, 83664, 4994)
(62110, 161426, 4009)
(29375, 73640, 4159)
(47961, 35813, 5688)
(103562, 194392, 5296)
(67566, 66994, 5296)
(24258, 164883, 5296)
(46475, 6480, 4590)
(87649, 188998, 3943)
(186988, 182899, 5610)
(55589, 175659, 3518)
(72462, 41173, 5419)
(5317, 135768, 4807)
(41282, 68070, 4807)
(28667, 133547, 3853)
(175918, 26407, 5559)
(70690, 150429, 5559)
(160418, 107346, 5559)
(8353, 181478, 4423)
(42498, 22519, 4386)
(70566, 156768, 4386)
(130968, 156631, 4386)
(142084, 183695, 4386)
(71285, 24865, 4226)
(180060, 170057, 3780)
(22358, 82586, 3780)
(36801, 163029, 4009)
(73189, 103405, 4159)
(190172, 126187, 4590)
(199316, 162339, 5053)
(15422, 119786, 3943)
(171778, 12447, 5559)
(72073, 23373, 4807)
(142236, 123916, 4807)
(15726, 94682, 4862)
(128663, 41651, 4853)
(588, 116492, 4386)
(99472, 77574, 4386)
(155840, 121897, 4386)
(179149, 46834, 3853)
(41996, 142119, 5296)
(377, 144547, 4159)
(162969, 141439, 4159)
(178046, 35143, 4590)
(112730, 31622, 4590)
(62721, 11271, 5559)
(64764, 4238, 5571)
(145745, 100700, 4634)
(94159, 21739, 4634)
(106269, 107428, 5688)
(112662, 55878, 5688)
(118201, 19898, 4994)
(62380, 25, 4994)
(28036, 38893, 4807)
(9416, 101066, 4807)
(29157, 61878, 4807)
(132024, 131149, 3943)
(52165, 6696, 3943)
(21192, 104407, 5296)
(9117, 198010, 5296)
(59748, 11066, 5296)
(141779, 64045, 5296)
(138242, 118734, 5296)
(85864, 69937, 4226)
(143174, 106026, 3853)
(108754, 54173, 5419)
(12241, 181792, 5053)
(29277, 6741, 4590)
(38159, 198704, 5571)
(196542, 63056, 4159)
(103184, 27382, 4159)
(132743, 154846, 5296)
(128337, 8919, 5296)
(106387, 146332, 5296)
(102148, 57387, 3943)
(185285, 45220, 4386)
(10056, 138407, 5053)
(115397, 2258, 5559)
(14529, 1512, 4590)
(49904, 49742, 4634)
(129466, 70108, 4009)
(29479, 30682, 4009)
(36677, 2760, 4009)
(170104, 166221, 5296)
(150493, 101828, 5296)
(130492, 195887, 5296)
(84325, 80372, 5296)
(1924, 160761, 5296)
(69548, 107721, 5296)
(31637, 157875, 4807)
(93296, 137326, 3780)
(30107, 176749, 5559)
(120214, 167219, 5559)
(186897, 1979, 5559)
(5127, 103133, 5559)
(132819, 15890, 4386)
(89887, 110542, 4386)
(16187, 198755, 4386)
(60682, 62058, 3943)
(75675, 24208, 5801)
(98985, 50629, 5801)
(128838, 47813, 5801)
(64371, 23077, 4590)
(107105, 118894, 4226)
(12733, 111519, 4994)
(191984, 31697, 4994)
(188970, 57187, 4994)
(175679, 193547, 5296)
(188300, 199125, 4159)
(44255, 90326, 3853)
(122515, 124117, 4807)
(82167, 65101, 4807)
(194144, 11916, 4807)
(32181, 119895, 4807)
(172801, 17889, 4853)
(74431, 127146, 4009)
(176009, 111074, 5559)
(86883, 188970, 5559)
(41120, 42726, 5053)
(78020, 144523, 5053)
(45498, 24972, 3780)
(119496, 179806, 5801)
(185259, 191355, 5801)
(99757, 146455, 4386)
(163947, 88084, 4386)
(25351, 10282, 4462)
(164884, 161863, 4462)
(39328, 67858, 4590)
(23979, 23492, 4590)
(43878, 27531, 4590)
(60420, 41239, 4994)
(88359, 143692, 4994)
(158508, 93250, 4994)
(36489, 147285, 4994)
(101977, 182418, 5296)
(8800, 83743, 5296)
(152576, 31724, 5296)
(3196, 85420, 5296)
(46043, 57295, 4226)
(143039, 78040, 4634)
(39121, 65795, 5688)
(54913, 130737, 4807)
(96610, 139987, 4807)
(63539, 168448, 5419)
(104387, 70684, 5419)
(55414, 38935, 5559)
(103870, 193899, 5559)
(53436, 20451, 5559)
(189946, 136795, 4159)
(30744, 185050, 4159)
(75231, 1668, 4159)
(46069, 166800, 5801)
(47072, 7369, 5801)
(119087, 89720, 4009)
(77827, 165249, 4423)
(120007, 1235, 5610)
(28530, 60941, 3780)
(117271, 89719, 4386)
(52630, 142345, 4386)
(71620, 15209, 4386)
(115723, 30185, 4386)
(31016, 39304, 4994)
(82883, 188944, 4994)
(51270, 186359, 4994)
(105738, 176418, 5296)
(155265, 154098, 5296)
(14785, 31816, 4462)
(80650, 174842, 4462)
(8942, 174559, 4590)
(64439, 2128, 5688)
(101140, 43696, 5688)
(51881, 139036, 5688)
(118247, 155996, 5419)
(79189, 10227, 5419)
(149411, 122249, 5419)
(50907, 28796, 3943)
(57382, 96804, 3943)
(56272, 171055, 5559)
(154291, 83296, 5559)
(11731, 6296, 4807)
(108017, 114902, 5801)
(34648, 117536, 4159)
(53177, 40131, 4159)
(129720, 113700, 3853)
(118758, 13093, 3853)
(95783, 72764, 5296)
(196749, 163218, 5296)
(132515, 92609, 5688)
(59579, 128580, 5688)
(35559, 179115, 5688)
(98493, 196334, 4994)
(80068, 73030, 3587)
(21915, 35158, 4462)
(51040, 20020, 5559)
(86009, 65566, 5559)
(146761, 104018, 5801)
(1289, 21967, 3780)
(128701, 98193, 4853)
(66765, 61460, 4226)
(134664, 35277, 5610)
(191529, 12405, 5296)
(162329, 23028, 5296)
(22589, 56415, 5296)
(99821, 84276, 5296)
(191689, 124716, 5571)
(113205, 196849, 5559)
(58548, 142988, 5559)
(139288, 117025, 5419)
(92235, 185439, 3853)
(157042, 2510, 4590)
(124364, 183353, 4386)
(24659, 94037, 4807)
(142975, 105493, 4807)
(127299, 139266, 5688)
(176779, 107419, 4226)
(70077, 166279, 5296)
(190198, 109327, 5296)
(174559, 172920, 5296)
(62324, 197290, 5296)
(119013, 133648, 5296)
(192872, 20743, 4994)
(32377, 106889, 4994)
(176888, 110544, 4994)
(153609, 11313, 4994)
(123262, 190045, 5801)
(119092, 95973, 5801)
(68620, 189744, 5559)
(92465, 88913, 5559)
(33420, 52750, 5419)
(23780, 40602, 5419)
(59900, 10122, 5419)
(55692, 16981, 4423)
(180820, 76854, 4423)
(105761, 116600, 5610)
(186415, 73163, 4009)
(16358, 51816, 4386)
(51629, 70843, 4807)
(166831, 57216, 4807)
(177919, 40843, 4807)
(126149, 32632, 4634)
(70026, 30312, 5688)
(180016, 104927, 5296)
(97051, 106287, 5296)
(166303, 188284, 5296)
(115263, 40001, 5296)
(155431, 170021, 5801)
(143779, 197231, 5801)
(50621, 180327, 4994)
(8036, 121036, 4994)
(27378, 158016, 3780)
(99943, 156203, 5419)
(60003, 120214, 5419)
(70915, 148255, 4862)
(181538, 59547, 5610)
(17794, 152011, 5053)
(42775, 21951, 4423)
(70107, 175978, 3655)
(6304, 191146, 5688)
(153446, 73064, 5688)
(156896, 138320, 5688)
(79139, 181874, 5688)
(52756, 116541, 4462)
(53978, 36642, 4807)
(186958, 76616, 4807)
(46965, 188973, 4807)
(108954, 878, 4386)
(5972, 73524, 4386)
(33402, 29800, 4386)
(76048, 47040, 4386)
(113251, 122608, 5296)
(60063, 144448, 5296)
(77714, 108442, 5296)
(42895, 57630, 3853)
(82217, 190181, 5053)
(54941, 35668, 5053)
(104509, 66041, 5688)
(31892, 41019, 3780)
(31776, 72986, 3943)
(183268, 7141, 3943)
(183452, 31622, 4590)
(20487, 81019, 4590)
(125255, 145739, 5801)
(37485, 168954, 4807)
(49531, 15276, 4807)
(54845, 148642, 4634)
(53998, 80170, 5296)
(91036, 93188, 5296)
(90733, 106232, 4386)
(199641, 76527, 4386)
(179163, 76478, 4386)
(80597, 321, 3655)
(31729, 182045, 3655)
(156382, 113815, 5419)
(104353, 91634, 4994)
(112441, 164715, 4994)
(42812, 194247, 4994)
(24788, 165658, 5610)
(116040, 96456, 3853)
(40694, 182452, 5688)
(144184, 77516, 4159)
(94916, 115144, 4159)
(6986, 39001, 3943)
(20134, 31733, 3943)
(199228, 24388, 4590)
(178919, 29701, 4590)
(56893, 41409, 4590)
(163071, 132094, 3780)
(5071, 132782, 5296)
(12673, 148789, 4807)
(81478, 129550, 4807)
(111157, 192868, 4807)
(50139, 190944, 4994)
(99450, 35912, 5688)
(191179, 104030, 5053)
(10208, 26809, 4862)
(28617, 88606, 3853)
(114881, 189326, 5559)
(45983, 86966, 5296)
(171417, 836, 5296)
(155173, 110050, 5296)
(24389, 138657, 5296)
(105220, 119746, 4853)
(199571, 46534, 5419)
(49575, 55439, 4590)
(116852, 131152, 4590)
(106683, 64604, 4807)
(139391, 55862, 4807)
(30664, 162224, 4807)
(100470, 38285, 4462)
(92760, 104134, 3943)
(127005, 45125, 4994)
(93513, 150753, 3780)
(108660, 113819, 4386)
(98607, 143853, 5801)
(155390, 78163, 5571)
(138340, 115339, 5559)
(79888, 75849, 5559)
(84596, 180479, 5296)
(159819, 151923, 5296)
(149287, 161708, 5419)
(74476, 55067, 4853)
(95406, 42431, 4853)
(133188, 66420, 4853)
(186797, 46472, 5688)
(177472, 25692, 4590)
(11345, 68665, 4994)
(45936, 7901, 4994)
(64449, 61570, 4994)
(76899, 32863, 5801)
(39573, 108584, 5801)
(31936, 103826, 5053)
(45847, 27021, 4386)
(93136, 112547, 4386)
(190004, 188003, 5559)
(1257, 16698, 5559)
(86987, 167235, 5559)
(2593, 1608, 5559)
(159016, 18238, 5296)
(117624, 191560, 5419)
(129699, 25164, 5419)
(67652, 16416, 5419)
(164735, 2197, 5419)
(139760, 47090, 5688)
(96816, 197604, 5688)
(3797, 90079, 4009)
(72913, 8274, 4009)
(128779, 182507, 4853)
(103063, 63434, 5801)
(117808, 177750, 5801)
(41140, 197471, 5801)
(6849, 2092, 4807)
(160030, 34262, 4807)
(126836, 130994, 4994)
(40071, 182433, 4994)
(175122, 198234, 4590)
(15146, 177653, 4590)
(166877, 57252, 4590)
(23296, 2665, 4226)
(127848, 186615, 4226)
(97509, 54676, 5559)
(28393, 144501, 4386)
(20867, 70182, 4386)
(41160, 19516, 4386)
(3465, 189452, 5296)
(20250, 23332, 5296)
(199442, 119019, 5419)
(18946, 144098, 5801)
(113758, 99096, 4994)
(146170, 12826, 4807)
(110044, 88739, 4807)
(136575, 2037, 4807)
(31855, 140728, 4807)
(128859, 38844, 4807)
(101191, 120668, 4590)
(179486, 46324, 4590)
(182173, 123248, 4590)
(77571, 2622, 4423)
(28028, 110028, 5571)
(145230, 114466, 4226)
(190702, 80705, 5688)
(79070, 8656, 3853)
(122083, 120656, 3853)
(33941, 29914, 3853)
(152769, 156211, 4159)
(134342, 163188, 5296)
(5822, 5413, 5296)
(169853, 176581, 5296)
(25500, 30451, 5419)
(79505, 136458, 5419)
(20517, 52376, 5419)
(91282, 42971, 5419)
(80590, 31728, 4386)
(28822, 150324, 5801)
(9065, 78123, 3518)
(93884, 109936, 3943)
(26351, 125318, 5053)
(192462, 85596, 4994)
(35910, 182098, 4807)
(47649, 148561, 4807)
(28100, 181448, 3780)
(18453, 10112, 4590)
(183346, 88996, 4590)
(25809, 47188, 5610)
(13277, 185339, 5610)
(11298, 2374, 5610)
(54073, 138096, 5688)
(124448, 31972, 5688)
(36557, 78612, 4009)
(3871, 3748, 4009)
(54596, 164550, 4226)
(177522, 4062, 4226)
(55486, 16570, 4226)
(16757, 135228, 5296)
(22572, 71389, 5296)
(102997, 84611, 5419)
(8671, 189026, 5419)
(101010, 115293, 5419)
(119020, 61587, 5801)
(109493, 68078, 4159)
(34194, 594, 4159)
(186570, 91073, 4159)
(112730, 150585, 4386)
(12485, 131387, 4386)
(87439, 178142, 4386)
(141947, 16529, 4386)
(40753, 53619, 4994)
(199436, 173445, 5559)
(115602, 88606, 5559)
(106505, 37248, 5559)
(140872, 37581, 5688)
(72912, 163583, 5610)
(20823, 126660, 5610)
(109574, 25645, 2992)
(72216, 122071, 5419)
(54383, 110366, 5419)
(75639, 72283, 5296)
(132907, 155773, 5296)
(147906, 112280, 5296)
(22544, 59990, 4423)
(21892, 158477, 4009)
(27936, 48202, 5053)
(26753, 136575, 5053)
(158594, 150308, 4159)
(81362, 24219, 4159)
(29890, 24904, 5688)
(14208, 54558, 5801)
(165510, 23331, 5801)
(35047, 13493, 5419)
(164822, 817, 5296)
(81865, 63608, 5296)
(187238, 138596, 5296)
(55772, 19107, 5296)
(34031, 109524, 5296)
(103367, 50367, 4634)
(115423, 47716, 4634)
(112282, 31277, 4862)
(137145, 19687, 5053)
(74289, 138039, 4226)
(29681, 161014, 4009)
(51271, 157501, 4009)
