(838537989.0, 2121.0)
profit, budget restant
départ, arrivée, numéro du camion
(64714, 10308, 3518)
(42788, 1631, 3655)
(6503, 21083, 3853)
(15664, 59843, 3780)
(165391, 5963, 3518)
(5181, 10278, 3405)
(173184, 103845, 3655)
(95213, 135595, 3518)
(279, 5039, 3780)
(199590, 111138, 3518)
(7451, 634, 3518)
(76576, 159943, 3853)
(13249, 101275, 3780)
(154218, 1141, 3780)
(144418, 4786, 3587)
(7678, 103964, 3655)
(135256, 184467, 3780)
(24241, 4637, 3679)
(44966, 116486, 3655)
(196640, 94943, 3780)
(50685, 4651, 3679)
(199106, 8225, 3587)
(194791, 29839, 3780)
(111487, 84396, 3853)
(147962, 110636, 3518)
(48502, 184476, 3780)
(16420, 157, 3679)
(106815, 177103, 3853)
(7420, 921, 3853)
(115632, 132753, 3655)
(171051, 113018, 3518)
(146816, 106368, 3679)
(192683, 136168, 3780)
(86515, 129867, 3853)
(156642, 111785, 3655)
(43389, 77947, 3780)
(68960, 45245, 3679)
(135340, 112747, 3780)
(126059, 148881, 3780)
(118880, 20494, 3587)
(1383, 114918, 3538)
(26570, 824, 3780)
(148404, 2387, 3853)
(141736, 194042, 3853)
(163837, 113243, 3853)
(56239, 187098, 3518)
(55308, 55726, 3518)
(56787, 97722, 3780)
(167877, 5533, 3655)
(12817, 33144, 3780)
(112742, 187598, 3655)
(36720, 111807, 3853)
(121579, 142, 3518)
(110208, 4734, 3655)
(11811, 38800, 3518)
(88975, 9353, 3780)
(86814, 136277, 3780)
(131533, 16268, 3655)
(162022, 78737, 3518)
(5533, 28550, 3518)
(114072, 808, 3780)
(81996, 100659, 3780)
(175292, 27966, 3655)
(63835, 53708, 3518)
(166639, 65476, 3853)
(128129, 195074, 3538)
(110153, 94853, 3780)
(46955, 110712, 3518)
(32991, 9866, 3780)
(35307, 183103, 3655)
(199434, 27275, 3853)
(110511, 41855, 3853)
(6091, 133862, 3518)
(79015, 22830, 3655)
(139977, 56131, 3780)
(92640, 23959, 3518)
(115515, 177186, 3518)
(41672, 58193, 3679)
